fighter_name,ko/tko_wins,submission_wins,decision_wins,win_streak,lose_streak,longest_win_streak,longest_lose_streak,title_fight_wins,reach_in,height_in,weight_in,dob_in,stance_Open,stance_Orthodox,stance_Sideways,stance_Southpaw,stance_Switch,fighter_name_norm,name,url,total_fights,wins,losses,draw,sig_strikes_landed,sig_strikes_attempted,takedowns_landed,takedown_attempted,sig_str_landed,sig_str_absorbed,takedown_avg,submission_avg,sig_str_def,takedown_def,knockdown_avg,avg_fight_time_seconds,str_standing,str_clinch,str_ground,str_head,str_body,str_leg,img,name_norm
Darrick Minner,2,3,2,0,3,2,3,0,69.0,67.0,145.0,1990.0,False,True,False,False,False,darrick minner,Darrick Minner,https://www.ufc.com/athlete/darrick-minner,40,26,14,0,131.0,200.0,8.0,11.0,2.63,2.28,2.4,2.71,36.0,67.0,0.3,428.0,61.0,30.0,40.0,79.0,33.0,19.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-11/MINNER_DARRICK_L_11-05.png?itok=Tm9t6Rwh,darrick minner
Ikuhisa Minowa,11,13,7,1,0,5,3,1,72.0,69.0,181.0,1976.0,False,True,False,False,False,ikuhisa minowa,Ikuhisa Minowa,https://www.ufc.com/athlete/ikuhisa-minowa,0,0,0,0,202.0,503.0,0.0,67.0,0.88,1.66,1.82,1.89,49.0,6.0,0.07,461.0,83.0,30.0,89.0,152.0,40.0,10.0,,ikuhisa minowa
Carlton Minus,0,0,2,0,2,0,2,0,75.0,70.0,170.0,1993.0,False,True,False,False,False,carlton minus,Carlton Minus,https://www.ufc.com/athlete/carlton-minus,13,10,3,0,105.0,262.0,0.0,1.0,3.5,4.97,0.0,0.0,50.0,59.0,0.0,900.0,104.0,1.0,0.0,79.0,12.0,14.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2020-08/MINUS_CARLTON_L_08-22.png?VersionId=Uui2StneZmgRuvI1BpV94mGhoOiaob99&itok=7DEfh4_A,carlton minus
Stipe Miocic,13,0,6,0,2,6,2,6,80.0,76.0,240.0,1982.0,False,True,False,False,False,stipe miocic,Stipe Miocic,https://www.ufc.com/athlete/stipe-miocic,25,20,5,0,1007.0,1910.0,24.0,73.0,4.67,4.01,1.74,0.0,52.0,65.0,0.49,681.0,721.0,121.0,165.0,737.0,139.0,131.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2024-10/2/MIOCIC_STIPE_L.png?itok=yCZcvRQd,stipe miocic
Frank Mir,13,8,5,0,2,4,4,2,79.0,75.0,264.0,1979.0,False,False,False,True,False,frank mir,Frank Mir,https://www.ufc.com/athlete/frank-mir,29,18,11,0,339.0,721.0,21.0,52.0,2.18,3.84,2.02,2.02,39.0,55.0,0.77,346.0,143.0,113.0,83.0,182.0,103.0,54.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/4db23501-da10-4288-a34f-89b0af05a5f3%252FFrank-Mir_251_LeftFullBodyImage.png?itok=vCWwuLSX,frank mir
Mario Miranda,2,0,2,0,2,1,2,0,74.0,75.0,185.0,1979.0,False,True,False,False,False,mario miranda,Mario Miranda,https://www.ufc.com/athlete/mario-miranda,15,12,3,0,86.0,159.0,0.0,5.0,1.96,2.46,1.02,0.0,37.0,55.0,0.34,659.0,26.0,17.0,43.0,54.0,13.0,19.0,,mario miranda
Vitor Miranda,3,0,4,0,3,3,3,0,77.0,73.0,185.0,1979.0,False,True,False,False,False,vitor miranda,Vitor Miranda,https://www.ufc.com/athlete/vitor-miranda,20,13,7,0,235.0,512.0,5.0,9.0,2.98,2.95,0.95,0.19,59.0,50.0,0.0,675.0,135.0,39.0,61.0,132.0,35.0,68.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/b69c74d8-0162-4d85-a3af-8fbafece2626%252Fvitor-miranda_477639_LeftFullBodyImage.png?itok=A33GEnqZ,vitor miranda
Gabriel Miranda,3,1,0,0,2,1,2,0,71.0,71.0,145.0,1990.0,False,True,False,False,False,gabriel miranda,Gabriel Miranda,https://www.ufc.com/athlete/gabriel-miranda,25,17,8,0,51.0,116.0,1.0,13.0,3.23,6.01,4.75,1.9,38.0,0.0,3.0,0.0,44.0,7.0,0.0,30.0,16.0,5.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-09/MIRANDA_GABRIEL_L_09-03.png?itok=stiDaIfe,gabriel miranda
Kazuo Misaki,2,1,8,1,0,2,2,1,72.0,68.0,183.0,1976.0,False,True,False,False,False,kazuo misaki,Kazuo Misaki,https://www.ufc.com/athlete/kazuo-misaki,0,0,0,0,418.0,1040.0,0.0,18.0,2.85,2.74,0.72,0.61,63.0,52.0,0.2,734.0,318.0,35.0,65.0,201.0,101.0,116.0,,kazuo misaki
Toby Misech,0,0,1,0,1,0,1,0,72.0,68.0,145.0,1988.0,False,False,False,True,False,toby misech,Toby Misech,https://www.ufc.com/athlete/toby-misech,15,10,5,0,49.0,121.0,0.0,2.0,3.27,7.73,0.0,0.0,46.0,0.0,15.0,0.0,49.0,0.0,0.0,33.0,9.0,7.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/2a522bd6-8ee0-480e-89b1-2270d9715d52%252FMISECH_TOBY_L.png?itok=oxDC95DZ,toby misech
