fighter_name,ko/tko_wins,submission_wins,decision_wins,win_streak,lose_streak,longest_win_streak,longest_lose_streak,title_fight_wins,reach_in,height_in,weight_in,dob_in,stance_Open,stance_Orthodox,stance_Sideways,stance_Southpaw,stance_Switch,fighter_name_norm,name,url,total_fights,wins,losses,draw,sig_strikes_landed,sig_strikes_attempted,takedowns_landed,takedown_attempted,sig_str_landed,sig_str_absorbed,takedown_avg,submission_avg,sig_str_def,takedown_def,knockdown_avg,avg_fight_time_seconds,str_standing,str_clinch,str_ground,str_head,str_body,str_leg,img,name_norm
Danny Abbadi,0,1,1,0,2,0,2,0,72.0,71.0,155.0,1983.0,False,True,False,False,False,danny abbadi,Danny Abbadi,https://www.ufc.com/athlete/danny-abbadi,4,2,2,0,59.0,155.0,0.0,0.0,3.29,4.41,0.0,0.0,58.0,78.0,0.0,538.0,42.0,14.0,3.0,51.0,8.0,0.0,,danny abbadi
Hamdy Abdelwahab,0,0,3,1,0,1,1,0,72.0,74.0,265.0,1993.0,False,False,False,True,False,hamdy abdelwahab,Hamdy Abdelwahab,https://www.ufc.com/athlete/hamdy-abdelwahab,7,6,1,0,157.0,320.0,3.0,6.0,3.49,4.49,1.33,0.0,52.0,100.0,0.33,900.0,125.0,2.0,30.0,110.0,18.0,29.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2025-06/ABDELWAHAB_HAMDY_L_06-21.png?itok=l7NzVTNr,hamdy abdelwahab
Mansur Abdul-Malik,3,0,0,0,0,3,0,0,80.0,74.0,185.0,1997.0,False,True,False,False,False,mansur abdul malik,Mansur Abdul-Malik,https://www.ufc.com/athlete/mansur-abdul-malik,9,8,0,1,131.0,268.0,0.0,3.0,4.27,3.49,0.49,0.0,51.0,82.0,0.49,460.0,52.0,14.0,65.0,119.0,6.0,6.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2025-06/ABDUL-MALIK_MANSUR_L_06-14.png?itok=qwFKoGL9,mansur abdul malik
Shamil Abdurakhimov,8,0,3,0,4,3,4,0,76.0,75.0,235.0,1981.0,False,True,False,False,False,shamil abdurakhimov,Shamil Abdurakhimov,https://www.ufc.com/athlete/shamil-abdurakhimov,28,20,8,0,251.0,567.0,5.0,30.0,2.41,3.02,1.01,0.14,55.0,45.0,0.29,567.0,169.0,60.0,22.0,149.0,47.0,55.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-02/ABDURAKHIMOV_SHAMIL_L_02_07.png?itok=61PVqphS,shamil abdurakhimov
Daichi Abe,0,0,3,0,2,1,2,0,71.0,71.0,170.0,1991.0,False,True,False,False,False,daichi abe,Daichi Abe,https://www.ufc.com/athlete/daichi-abe,7,6,1,0,171.0,508.0,1.0,2.0,3.8,4.49,0.33,0.0,57.0,0.33,15.0,0.0,146.0,11.0,14.0,102.0,12.0,57.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/8c026dcd-60a4-457e-9cb5-b2c20969cd8f%252FDaichi-Abe_635302_LeftFullBodyImage.png?itok=urpTXoD3,daichi abe
Papy Abedi,1,2,1,0,1,1,2,0,72.0,71.0,185.0,1978.0,False,False,False,True,False,papy abedi,Papy Abedi,https://www.ufc.com/athlete/papy-abedi,12,9,3,0,97.0,176.0,0.0,14.0,2.8,3.15,3.47,1.3,49.0,50.0,0.0,519.0,36.0,34.0,27.0,42.0,46.0,9.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/b234b354-8110-42f1-8dc3-e12c64426cce%252FPapy-Abedi_205746_LeftFullBodyImage.png?itok=bFgP0uJv,papy abedi
Ricardo Abreu,0,1,1,0,1,1,1,0,72.0,71.0,185.0,1984.0,False,True,False,False,False,ricardo abreu,Ricardo Abreu,https://www.ufc.com/athlete/ricardo-abreu,6,5,1,0,80.0,252.0,0.0,7.0,3.79,3.98,2.13,0.71,68.0,100.0,1.42,633.0,58.0,13.0,9.0,65.0,10.0,5.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/69075/profile-galery/fullbodyleft-picture/ricardo-abreu_477654_LeftFullBodyImage.png?VersionId=LJuqnesMlT3hQ25Nq21MoDD7Nwj8n7Nn&itok=EIomwsXt,ricardo abreu
Klidson Abreu,0,0,3,0,0,1,1,0,74.0,72.0,205.0,1992.0,False,True,False,False,False,klidson abreu,Klidson Abreu,https://www.ufc.com/athlete/klidson-abreu,19,15,4,0,96.0,236.0,0.0,10.0,2.05,2.9,0.64,0.0,56.0,80.0,0.0,703.0,86.0,10.0,0.0,38.0,20.0,38.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/68520/profile-galery/fullbodyleft-picture/ABREU_KLIDSON_L.png?VersionId=BbXEo5JsESM5N88Iv2q7TJdUPAz1J.sR&itok=Pbr4cfCU,klidson abreu
John Adajar,0,1,0,0,1,0,1,0,75.0,69.0,170.0,1991.0,False,True,False,False,False,john adajar,John Adajar,https://www.ufc.com/athlete/john-adajar,1,0,1,0,18.0,34.0,0.0,0.0,3.9,6.28,0.0,0.0,44.0,0.0,4.0,0.0,17.0,1.0,0.0,11.0,5.0,2.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-06/7ab235cd-13bf-4085-b532-1a8138a573ff%252FADAJAR_JOHN_L.png?itok=1xGnWLrR,john adajar
Scott Adams,0,1,0,1,0,1,0,0,72.0,72.0,225.0,1986.0,False,False,False,True,False,scott adams,Scott Adams,https://www.ufc.com/athlete/tenk-ebbott,6,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,scott adams
Juan Adams,4,0,1,0,3,2,3,0,80.0,77.0,265.0,1992.0,False,True,False,False,False,juan adams,Juan Adams,https://www.ufc.com/athlete/juan-adams,8,5,3,0,234.0,420.0,2.0,3.0,7.09,4.06,0.91,0.0,35.0,57.0,0.0,396.0,112.0,52.0,70.0,192.0,32.0,10.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/69687/profile-galery/fullbodyleft-picture/ADAMS_JUAN_L.png?VersionId=a1XiJQRN_l1IA0G0dW5ccZhOzl6Gnxml&itok=Iqqe81nf,juan adams
Anthony Adams,0,0,2,0,2,0,2,0,76.0,73.0,185.0,1988.0,False,True,False,False,False,anthony adams,Anthony Adams,https://www.ufc.com/athlete/anthony-adams,10,8,2,0,95.0,227.0,0.0,7.0,3.17,5.93,0.0,0.0,44.0,0.0,15.0,0.0,84.0,11.0,0.0,37.0,29.0,29.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/ed39dee9-3044-4ad1-a217-4587a85234b6%252FADAMS_ANTHONY_L_CS.png?itok=M8e0aLgG,anthony adams
Zarrukh Adashev,2,0,2,0,1,1,2,0,65.0,65.0,125.0,1992.0,False,False,False,True,False,zarrukh adashev,Zarrukh Adashev,https://www.ufc.com/athlete/zarrukh-adashev,8,4,4,0,115.0,285.0,0.0,5.0,3.65,3.04,0.0,0.48,65.0,100.0,0.0,473.0,107.0,6.0,2.0,76.0,16.0,23.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-05/71630%252Fprofile-galery%252Ffullbodyleft-picture%252FADASHEV_ZARRUKH_L_05-08.png?itok=sHUsb4Yz,zarrukh adashev
Israel Adesanya,7,1,10,0,3,9,3,8,80.0,76.0,185.0,1989.0,False,False,False,False,True,israel adesanya,Israel Adesanya,https://www.ufc.com/athlete/israel-adesanya,29,24,5,0,1271.0,2639.0,0.0,9.0,4.02,3.2,0.05,0.14,56.0,77.0,0.62,1055.0,1170.0,64.0,37.0,623.0,266.0,382.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2025-01/ADESANYA_ISRAEL_L_02-01.png?itok=i_x2uO8m,israel adesanya
Sam Adkins,2,1,1,0,1,1,1,0,72.0,75.0,225.0,1965.0,False,True,False,False,False,sam adkins,Sam Adkins,https://www.ufc.com/athlete/sam-adkins,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,sam adkins
Nick Agallar,1,0,0,0,1,0,1,0,72.0,68.0,155.0,1979.0,False,True,False,False,False,nick agallar,Nick Agallar,https://www.ufc.com/athlete/nick-agallar,15,12,3,0,5.0,43.0,0.0,2.0,0.69,4.56,0.0,0.0,42.0,0.0,7.0,0.0,4.0,1.0,0.0,2.0,0.0,3.0,,nick agallar
Mariya Agapova,1,5,1,0,3,1,3,0,68.0,66.0,125.0,1997.0,False,False,False,True,False,mariya agapova,Mariya Agapova,https://www.ufc.com/athlete/mariya-agapova,15,10,5,0,241.0,441.0,2.0,3.0,4.43,3.62,0.55,0.83,52.0,45.0,0.55,467.0,163.0,38.0,40.0,153.0,67.0,21.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/8d8cdf5b-a8fc-4d06-8658-a1780c10f239%252FAGAPOVA_MARIYA_L_03-05.png?itok=ONWq065l,mariya agapova
Jessica Aguilar,0,1,4,0,2,1,2,0,63.0,63.0,115.0,1982.0,False,True,False,False,False,jessica aguilar,Jessica Aguilar,https://www.ufc.com/athlete/jessica-aguilar,28,20,8,0,314.0,620.0,4.0,16.0,4.93,7.19,0.94,0.24,54.0,50.0,0.0,764.0,194.0,96.0,24.0,168.0,88.0,58.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/fighter_images/Jessica_Aguilar/AGUILAR_JESSICA_L.png?VersionId=u4Bhw7DC8WEfwM7pt2FUHKOw2N_JjbnF&itok=MrlX22s5,jessica aguilar
Kevin Aguilar,1,0,6,0,4,3,4,0,73.0,67.0,155.0,1988.0,False,True,False,False,False,kevin aguilar,Kevin Aguilar,https://www.ufc.com/athlete/kevin-aguilar,22,17,5,0,370.0,924.0,0.0,6.0,3.96,4.81,0.16,0.0,52.0,79.0,0.32,800.0,321.0,29.0,20.0,224.0,126.0,20.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-05/71419%252Fprofile-galery%252Ffullbodyleft-picture%252FAGUILAR_KEVIN_L_05-15.png?itok=02cJi6Gk,kevin aguilar
Jesus Aguilar,1,3,3,1,0,3,1,0,62.0,64.0,125.0,1996.0,False,True,False,False,False,jesus aguilar,Jesus Aguilar,https://www.ufc.com/athlete/jesus-aguilar,15,12,3,0,170.0,420.0,0.0,22.0,2.65,1.85,1.64,1.4,63.0,49.0,0.23,550.0,133.0,18.0,19.0,94.0,36.0,40.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2025-09/AGUILAR_JESUS_L_09-13.png?itok=VaqTvi3t,jesus aguilar
Christian Aguilera,1,2,0,0,2,1,2,0,72.0,69.0,170.0,1991.0,False,False,False,False,True,christian aguilera,Christian Aguilera,https://www.ufc.com/athlete/christian-aguilera,22,14,8,0,27.0,72.0,0.0,1.0,2.54,4.04,0.0,0.0,49.0,60.0,0.0,213.0,27.0,0.0,0.0,16.0,3.0,8.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-05/71629%252Fprofile-galery%252Ffullbodyleft-picture%252FAGUILERA_CHRISTIAN_L_05-08.png?itok=BtcdAi4o,christian aguilera
Nick Aguirre,0,1,1,0,2,0,2,0,74.0,69.0,135.0,1996.0,False,False,False,True,False,nick aguirre,Nick Aguirre,https://www.ufc.com/athlete/nick-aguirre,9,7,2,0,19.0,56.0,0.0,10.0,0.73,2.89,1.16,0.58,46.0,33.0,0.0,779.0,18.0,1.0,0.0,18.0,1.0,0.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-01/AGUIRRE_NICK_L_01-14.png?itok=GVb_QPBM,nick aguirre
Ashiek Ajim,1,0,0,0,1,0,1,0,71.0,68.0,135.0,1994.0,False,False,False,False,True,ashiek ajim,Ashiek Ajim,https://www.ufc.com/athlete/ashiek-ajim,1,0,1,0,4.0,10.0,0.0,0.0,5.0,11.25,0.0,0.0,25.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,2.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-02/AJIM_ASHIEK_L.png?itok=FJkNCoLD,ashiek ajim
Omari Akhmedov,4,2,8,0,1,3,2,0,73.0,72.0,185.0,1987.0,False,True,False,False,False,omari akhmedov,Omari Akhmedov,https://www.ufc.com/athlete/omari-akhmedov,28,21,6,1,535.0,1556.0,19.0,68.0,2.97,2.84,2.58,0.25,56.0,66.0,0.17,721.0,389.0,65.0,81.0,383.0,89.0,63.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-07/68949%252Fprofile-galery%252Ffullbodyleft-picture%252FAKHMEDOV_OMARI_L_07-10.png?itok=rbU9pxFB,omari akhmedov
Yoshihiro Akiyama,7,8,5,0,1,8,4,0,75.0,70.0,170.0,1975.0,False,True,False,False,False,yoshihiro akiyama,Yoshihiro Akiyama,https://www.ufc.com/athlete/yoshihiro-akiyama,21,15,6,0,466.0,1122.0,12.0,34.0,3.1,3.62,2.29,1.0,58.0,93.0,0.4,410.0,316.0,28.0,122.0,374.0,27.0,65.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/69542/profile-galery/fullbodyleft-picture/Yoshihiro-Akiyama_1044_LeftFullBodyImage.png?VersionId=RUae1jr6ZXoXCdoQQf6Q611OPR_c96l0&itok=UBA08-Cc,yoshihiro akiyama
Rostem Akman,0,0,2,0,2,0,2,0,72.0,70.0,170.0,1991.0,False,False,False,False,True,rostem akman,Rostem Akman,https://www.ufc.com/athlete/rostam-akman,2,0,2,0,54.0,210.0,2.0,5.0,1.8,3.97,1.0,0.0,58.0,88.0,0.0,900.0,42.0,12.0,0.0,38.0,12.0,4.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/71542/profile-galery/fullbodyleft-picture/AKMAN_ROSTAM_L.png?VersionId=s0Xyj_DSjzTjrVVAvaeImvkXyz9WVs3Z&itok=71bb3LPi,rostem akman
Razak Al-Hassan,0,1,1,0,2,0,2,0,72.0,74.0,205.0,1982.0,False,True,False,False,False,razak al hassan,Razak Al-Hassan,https://www.ufc.com/athlete/razak-al-hassan,9,7,2,0,75.0,191.0,0.0,7.0,3.27,3.14,0.65,0.0,60.0,57.0,0.0,458.0,68.0,7.0,0.0,28.0,21.0,26.0,,razak al hassan
Abdul-Kareem Al-Selwady,1,0,1,0,1,1,1,0,69.0,68.0,155.0,1995.0,False,True,False,False,False,abdul kareem al selwady,Abdul-Kareem Al-Selwady,https://www.ufc.com/athlete/abdul-kareem-al-selwady,19,15,4,0,107.0,309.0,3.0,13.0,4.14,3.6,2.32,0.0,59.0,20.0,0.0,775.0,102.0,5.0,0.0,60.0,17.0,30.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2024-02/AL-SELWADY_ABDUL-KAREEM_L_03-02.png?itok=CKRp0Q_w,abdul kareem al selwady
Mostapha Al-Turk,2,0,1,0,3,0,3,0,77.0,74.0,245.0,1973.0,False,True,False,False,False,mostapha al turk,Mostapha Al Turk,https://www.ufc.com/athlete/mostapha-al-turk,12,6,6,0,31.0,161.0,0.0,9.0,1.36,3.61,0.0,0.0,53.0,0.0,7.0,0.0,28.0,3.0,0.0,13.0,3.0,15.0,,mostapha al turk
Herdem Alacabek,1,0,0,0,1,0,1,0,75.0,74.0,205.0,1991.0,False,True,False,False,False,herdem alacabek,Herdem Alacabek,https://www.ufc.com/athlete/herdem-alacabek,0,0,0,0,56.0,85.0,0.0,4.0,3.84,6.66,2.06,0.0,23.0,43.0,0.0,874.0,24.0,26.0,6.0,25.0,23.0,8.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/10e818b5-0ad1-400e-8f07-91c0717f7a60%252FALACABEK_HERDEM_L.png?itok=iBcwCkpz,herdem alacabek
Alatengheili,1,0,8,0,1,2,1,0,66.0,65.0,135.0,1991.0,False,True,False,False,False,alatengheili,Alatengheili,https://www.ufc.com/athlete/heili-alateng,29,17,10,2,340.0,1039.0,3.0,32.0,2.82,5.12,1.74,0.0,57.0,75.0,0.12,805.0,325.0,2.0,13.0,223.0,71.0,46.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2025-04/ALATENGHEILI_L_05-18.png?itok=WjLsBp8K,alatengheili
Amir Albazi,1,2,3,0,1,5,1,0,68.0,65.0,125.0,1993.0,False,True,False,False,False,amir albazi,Amir Albazi,https://www.ufc.com/athlete/amir-albazi,19,17,2,0,235.0,676.0,3.0,25.0,2.72,3.71,1.39,0.52,62.0,50.0,0.35,865.0,202.0,3.0,30.0,162.0,40.0,33.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2025-01/5/ALBAZI_AMIR_L_06-03.png?itok=dSQz-2tZ,amir albazi
John Albert,1,4,0,0,4,1,4,0,68.0,68.0,135.0,1986.0,False,True,False,False,False,john albert,John Albert,https://www.ufc.com/athlete/john-albert,12,7,5,0,67.0,135.0,0.0,3.0,3.05,2.82,0.0,6.14,35.0,50.0,0.68,264.0,34.0,15.0,18.0,44.0,16.0,7.0,,john albert
Junior Albini,3,1,1,0,4,1,4,0,74.0,75.0,264.0,1991.0,False,True,False,False,False,junior albini,Junior Albini,https://www.ufc.com/athlete/junior-albini,20,14,6,0,116.0,227.0,1.0,8.0,3.98,6.08,1.54,0.0,52.0,100.0,0.51,350.0,90.0,22.0,4.0,70.0,27.0,19.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/fighter_images/junior_albini/ALBINI_JUNIOR_L.png?VersionId=_pkIrcY5IZrB.DUvzPk7J1daug2p8gSS&itok=W9bRXaoB,junior albini
Wes Albritton,1,0,0,0,1,0,1,0,72.0,70.0,188.0,1986.0,False,True,False,False,False,wes albritton,Wes Albritton,https://www.ufc.com/athlete/wes-albritton,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,wes albritton
Iuri Alcantara,5,3,10,0,1,3,2,0,71.0,69.0,135.0,1980.0,False,False,False,True,False,iuri alcantara,Iuri Alcantara,https://www.ufc.com/athlete/iuri-alcantara,45,35,10,0,483.0,1057.0,17.0,27.0,2.72,2.79,1.44,0.84,49.0,60.0,0.42,561.0,303.0,45.0,135.0,316.0,130.0,37.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/68134/profile-galery/fullbodyleft-picture/Iuri-Alcantara_135403_LeftFullBodyImage.png?itok=lQfEBTMf,iuri alcantara
Ildemar Alcantara,0,1,6,0,1,2,1,0,78.0,74.0,185.0,1982.0,False,True,False,False,False,ildemar alcantara,Ildemar Alcantara,https://www.ufc.com/athlete/igor-araudzho-1,29,21,8,0,188.0,486.0,0.0,19.0,1.93,2.63,2.0,0.92,50.0,82.0,0.0,837.0,129.0,34.0,25.0,106.0,62.0,20.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/4bf9c4d8-f416-4ac2-9bff-296d52fbf663%252FIldemar-Alcantara_299105_LeftFullBodyImage.png?itok=e5dnh3kU,ildemar alcantara
Alfonso Alcarez,0,0,0,0,0,0,0,0,72.0,63.0,145.0,1970.0,False,False,False,False,False,alfonso alcarez,Alfonso Alcarez,https://www.ufc.com/athlete/alfonso-alcarez,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,alfonso alcarez
Gilbert Aldana,2,0,0,0,2,0,2,0,72.0,73.0,250.0,1977.0,False,True,False,False,False,gilbert aldana,Gilbert Aldana,https://www.ufc.com/athlete/gilbert-aldana,5,5,0,0,34.0,62.0,0.0,5.0,2.91,6.26,2.57,0.0,26.0,33.0,0.0,350.0,6.0,19.0,9.0,24.0,6.0,4.0,,gilbert aldana
Irene Aldana,3,1,10,0,1,3,2,0,68.0,69.0,135.0,1988.0,False,True,False,False,False,irene aldana,Irene Aldana,https://www.ufc.com/athlete/irene-aldana,23,15,8,0,1065.0,2667.0,2.0,4.0,5.19,6.64,0.15,0.22,56.0,78.0,0.22,879.0,948.0,55.0,62.0,743.0,145.0,177.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2025-01/5/ALDANA_IRENE_L_09-14.png?itok=wFPOcIxf,irene aldana
Hector Aldana,2,0,1,0,3,0,3,0,72.0,71.0,170.0,1988.0,False,True,False,False,False,hector aldana,Hector Aldana,https://www.ufc.com/athlete/hector-aldana,6,4,2,0,116.0,302.0,2.0,2.0,3.59,5.08,0.93,0.0,60.0,0.0,10.0,0.0,109.0,6.0,1.0,64.0,13.0,39.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/68080/profile-galery/fullbodyleft-picture/ALDANA_HECTOR_L.png?VersionId=7Y_3Ma4smBzA0_a45Vlw08GDGYXLCaOV&itok=6vog6URV,hector aldana
Jose Alday,0,0,1,0,1,0,1,0,68.0,67.0,135.0,1991.0,False,True,False,False,False,jose alday,Jose Alday,https://www.ufc.com/athlete/dzhonatan-martinez-0,1,0,1,0,47.0,106.0,0.0,1.0,3.13,3.13,0.0,0.0,59.0,57.0,0.0,900.0,44.0,3.0,0.0,21.0,19.0,7.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-09/68357%252Fprofile-galery%252Ffullbodyright-picture%252FALDAY_JOSE_R.png?itok=Yc9M7af9,jose alday
Jose Aldo,15,0,16,0,2,15,3,11,70.0,67.0,135.0,1986.0,False,True,False,False,False,jose aldo,José Aldo,https://www.ufc.com/athlete/jose-aldo,42,32,10,0,1617.0,3492.0,12.0,27.0,3.65,3.81,0.47,0.14,60.0,93.0,0.41,857.0,1409.0,60.0,148.0,1064.0,322.0,231.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2025-05/ALDO_JOSE_L_05-10.png?itok=Y_KRVxDY,jose aldo
JJ Aldrich,2,1,13,1,0,3,2,0,67.0,65.0,125.0,1992.0,False,False,False,True,False,jj aldrich,JJ Aldrich,https://www.ufc.com/athlete/jj-aldrich,21,14,7,0,872.0,1850.0,1.0,41.0,3.96,4.32,0.75,0.0,61.0,68.0,0.0,827.0,691.0,102.0,79.0,711.0,113.0,48.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2025-02/ALDRICH_JJ_L_05-11.png?itok=DSDv0dcF,jj aldrich
Irina Alekseeva,0,2,2,0,3,1,3,0,67.0,68.0,135.0,1990.0,False,True,False,False,False,irina alekseeva,Irina Alekseeva,https://www.ufc.com/athlete/irina-alekseeva,9,5,4,0,135.0,353.0,0.0,5.0,3.42,5.02,0.38,0.38,45.0,50.0,0.38,591.0,125.0,8.0,2.0,68.0,25.0,42.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2025-06/ALEKSEEVA_IRINA_L_06-21.png?itok=pWGnOQxC,irina alekseeva
Talita Alencar,0,0,4,0,0,1,1,0,58.0,61.0,115.0,1990.0,False,True,False,False,False,talita alencar,Talita Alencar,https://www.ufc.com/athlete/talita-alencar,8,6,1,1,157.0,473.0,1.0,48.0,2.62,3.77,2.5,0.25,54.0,50.0,0.0,900.0,85.0,17.0,55.0,107.0,40.0,10.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2024-04/ALENCAR_TALITA_L_12-09.png?itok=PrcjJ6uC,talita alencar
Jim Alers,1,0,2,0,1,1,1,0,71.0,69.0,145.0,1986.0,False,True,False,False,False,jim alers,Jim Alers,https://www.ufc.com/athlete/jim-alers,16,13,3,0,135.0,335.0,0.0,17.0,2.9,4.38,2.26,0.32,57.0,80.0,0.32,698.0,102.0,21.0,12.0,85.0,14.0,36.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/edc96865-801b-4923-9ff3-b60d558a4ff9%252FJim-Alers_474973_LeftFullBodyImage.png?itok=lSql_gpn,jim alers
John Alessio,0,6,6,0,4,3,4,0,72.0,70.0,155.0,1979.0,False,True,False,False,False,john alessio,John Alessio,https://www.ufc.com/athlete/john-alessio,50,34,16,0,273.0,697.0,2.0,42.0,2.1,2.91,1.85,1.16,55.0,71.0,0.12,599.0,135.0,60.0,78.0,197.0,29.0,47.0,,john alessio
Houston Alexander,4,1,1,0,4,2,4,0,72.0,72.0,205.0,1972.0,False,True,False,False,False,houston alexander,Houston Alexander,https://www.ufc.com/athlete/houston-alexander,14,9,5,0,154.0,281.0,0.0,7.0,3.06,3.2,1.19,0.0,53.0,33.0,0.9,377.0,94.0,32.0,28.0,73.0,43.0,38.0,,houston alexander
Lucas Alexander,2,1,1,0,2,1,2,0,73.0,71.0,145.0,1995.0,False,True,False,False,False,lucas alexander,Lucas Alexander,https://www.ufc.com/athlete/lucas-alexander,13,8,5,0,131.0,228.0,0.0,2.0,4.69,2.87,0.0,0.0,57.0,60.0,0.54,419.0,119.0,4.0,8.0,68.0,29.0,34.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-11/ALEXANDER_LUCAS_L_11-18.png?itok=tuWDuKkE,lucas alexander
Olaf Alfonso,3,0,1,0,4,0,4,0,72.0,74.0,170.0,1974.0,False,True,False,False,False,olaf alfonso,Olaf Alfonso,https://www.ufc.com/athlete/olaf-alfonso,0,0,0,0,67.0,172.0,0.0,14.0,1.65,4.77,0.37,0.74,53.0,22.0,0.0,610.0,50.0,17.0,0.0,41.0,17.0,9.0,,olaf alfonso
Bill Algeo,3,1,7,0,2,2,2,0,73.0,72.0,145.0,1989.0,False,False,False,False,True,bill algeo,Bill Algeo,https://www.ufc.com/athlete/bill-algeo,27,18,9,0,771.0,1494.0,4.0,18.0,5.88,4.38,1.03,0.11,47.0,55.0,0.23,715.0,628.0,80.0,63.0,454.0,179.0,138.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2024-03/ALGEO_BILL_L_03-30.png?itok=FI0gVz5G,bill algeo
Royce Alger,1,1,0,0,2,0,2,0,72.0,70.0,199.0,1965.0,False,True,False,False,False,royce alger,Royce Alger,https://www.ufc.com/athlete/royce-alger,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,royce alger
Sultan Aliev,2,0,2,1,0,1,1,0,74.0,71.0,170.0,1984.0,False,True,False,False,False,sultan aliev,Sultan Aliev,https://www.ufc.com/athlete/sultan-aliev,18,15,3,0,60.0,131.0,3.0,13.0,1.41,2.2,1.76,0.0,57.0,100.0,0.0,641.0,37.0,13.0,10.0,51.0,7.0,2.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2019-04/ALIEV_SULTAN_L.png?VersionId=Jhe1yv6BwPs3HNt_BkPn8KmK0YcURYuW&itok=-YehmRNA,sultan aliev
